repo_user_name,repo_name,repo_url,repo_rating
localstack,localstack,https://github.com/localstack/localstack,45.5k
serverless,serverless,https://github.com/serverless/serverless,44k
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,35.4k
donnemartin,data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,24.5k
pulumi,pulumi,https://github.com/pulumi/pulumi,14.7k
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,13.5k
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,13.4k
aws,aws-cli,https://github.com/aws/aws-cli,13.3k
mozilla,sops,https://github.com/mozilla/sops,11.8k
donnemartin,awesome-aws,https://github.com/donnemartin/awesome-aws,11.1k
serverless-stack,sst,https://github.com/serverless-stack/sst,10.9k
apereo,cas,https://github.com/apereo/cas,9.9k
caprover,caprover,https://github.com/caprover/caprover,9.8k
aws,aws-cdk,https://github.com/aws/aws-cdk,9.7k
aws,chalice,https://github.com/aws/chalice,9.4k
GoogleCloudPlatform,terraformer,https://github.com/GoogleCloudPlatform/terraformer,9.4k
angristan,openvpn-install,https://github.com/angristan/openvpn-install,9.2k
aws-amplify,amplify-js,https://github.com/aws-amplify/amplify-js,9.1k
aws,serverless-application-model,https://github.com/aws/serverless-application-model,8.9k
google,go-cloud,https://github.com/google/go-cloud,8.8k
